Position_X, Position_Y, Position_Z, Rotation_X, Rotation_Y, Rotation_Z
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
1.25935,1.525523, -1.902318,-0.01828449,-0.2248767, -0.002135359,
