Position_X, Position_Y, Position_Z, Rotation_X, Rotation_Y, Rotation_Z
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
1.25935,1.525523, -1.902318,0.01456888,-0.224768, -0.009655137,
